country,country_iso,core_city,uc_id,cc_avg_dir,cc_avg_undir,cc_wt_avg_dir,cc_wt_avg_undir,circuity,elev_iqr,elev_mean,elev_median,elev_range,elev_std,grade_mean,grade_median,intersect_count,intersect_count_clean,intersect_count_clean_topo,k_avg,length_mean,length_median,length_total,street_segment_count,node_count,orientation_entropy,orientation_order,pagerank_max,prop_4way,prop_3way,prop_deadend,self_loop_proportion,straightness,uc_names,world_region,world_subregion,resident_pop,area,built_up_area,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,nodes_per_km_street,organic_prop,meshedness_coefficient,pop_density,prop_used_area,big,organic,3_way_cities,type_one_city,type_two_city,city_type,chosen
brazil,BRA,gurupi,1167,0.0253815668857208,0.0317592187727736,0.0016636562653592,0.0018563331331614,1.0106628399695223,19.0,299.62396152164405,298.0,79.0,14.792685272806995,0.0203612987012987,0.014,2212,1890,1891,3.3668561434193265,97.27182285714284,83.631,374496.518,3850,2287,3.184431726144782,0.3302745003148615,0.0011374056435076,0.4836029733275033,0.480104940970704,0.0327940533449934,0.0,0.989449656653208,Gurupi,Latin America and the Caribbean,South America,68284,21.0,7.35172986984,3.424136423261915,311.0832471391898,300.8815665377734,90280.0930870498,50939.9181730477,0.0061068658587634,0.5131233595800525,0.9798554850010948,9288.154109161536,0.3500823747542857,False,True,False,True,False,1,True
ecuador,ECU,pasaje,435,0.0192329838985136,0.0217967599410898,0.0018092943600912,0.0019937422328528,1.0198191924492617,4.0,29.52061855670103,28.0,50.0,6.884718838553535,0.0154583516967827,0.01,1302,1229,1234,3.341678939617084,82.33952798589686,62.849,186828.389,2269,1358,3.332756675736792,0.2152287161188193,0.0022794688972721,0.4889543446244477,0.4624447717231222,0.0412371134020618,0.000881445570736,0.980565974247197,Pasaje,Latin America and the Caribbean,South America,55355,9.0,2.35380220413,3.4197349042709866,576.9388768594245,553.1475829683142,141818.9673772452,79373.01981967277,0.0072687026167099,0.5040530582166544,1.0062753783684015,23517.26916682875,0.2615335782366667,False,True,False,True,False,1,True
colombia,COL,el_carmen_de_bolivar,608,0.0295011701261701,0.0297619047619047,0.0014096567141542,0.0014430322468594,1.0194317655732912,26.0,169.99107142857142,165.0,75.0,16.53646686833209,0.0385620347394541,0.017,911,857,857,3.1984126984126986,70.71421464019852,62.132,113991.314,1612,1008,3.3428204613800947,0.2070927385317531,0.0024645977714615,0.3968253968253968,0.501984126984127,0.0962301587301587,0.0,0.9809386304905228,El Carmen de Bolívar,Latin America and the Caribbean,South America,58891,7.0,2.19358491898,3.211309523809524,459.5217587786445,415.3019069914138,102864.07471515682,51965.76299084196,0.0088427790208646,0.5988083416087389,1.0871080139372822,26846.920531977332,0.31336927414,False,True,False,True,False,1,True
kazakhstan,KAZ,zhanaozen,5649,0.0268500948766603,0.0316255534471853,0.0023156290904848,0.0024500160491729,1.023290828307578,7.0,199.8500948766604,201.0,38.0,6.137728744498029,0.01336820083682,0.009,977,915,915,3.174573055028463,168.3995499103407,111.841,281732.447,1673,1054,3.2157462702039203,0.3067448590788182,0.0028617985674249,0.3766603415559772,0.5502846299810247,0.0730550284629981,0.0011954572624028,0.9772392875385204,Zhanaozen,Asia,South-Central Asia,109849,27.0,10.2948884964,3.230550284629981,102.38090488970047,94.9014649689159,53249.99461545413,27366.245598339232,0.0037411381302488,0.6233396584440227,1.026153114598193,10670.246699457977,0.38129216653333337,False,True,False,False,True,2,True
china,CHN,juxian,11648,0.0436803936803936,0.0475869809203142,0.0034266762279069,0.0037800234107649,1.0097430713669306,4.0,107.9023569023569,107.0,24.0,3.430865637246528,0.0081770833333333,0.003,277,232,232,3.2323232323232323,522.62275,405.873,250858.92,480,297,2.6267615826539674,0.6812709199682108,0.0079622104662592,0.441077441077441,0.4848484848484848,0.0673400673400673,0.0,0.9903509401121802,Juxian,Asia,Eastern Asia,217078,76.0,45.4759178162,3.323232323232323,6.53092920961782,6.091135996848943,9297.42308245138,5516.30251892653,0.001183932387176,0.5521885521885522,0.9066213921901528,4773.471552072111,0.5983673396868422,False,True,False,True,False,1,True
united_states,USA,san_angelo,248,0.026103145392619,0.0289424860853432,0.0019924881088978,0.0021186586991963,1.0230989052262176,14.0,572.7977736549166,573.0,50.0,9.279796341210648,0.0121369275885404,0.009,2573,2461,2467,3.289795918367347,141.9864872546808,113.812,629426.098,4433,2695,2.997660788412488,0.4621765610416517,0.0008653754918505,0.4415584415584415,0.5098330241187384,0.0452690166975881,0.0006767426122264,0.9774226078160936,San Angelo,Northern America,Northern America,57491,48.0,31.6783180237,3.3565862708719854,85.07396124957603,81.22274667723902,36802.60379126745,19869.302957597003,0.0042816781963178,0.5553080920564217,1.0605610254504922,1814.8375162149819,0.6599649588270834,False,True,False,True,False,1,True
argentina,ARG,pilar,1101,0.0231272060652209,0.0282303902993558,0.0015398829208002,0.0018320757252263,1.012012639465668,5.0,22.116710875331567,23.0,27.0,4.049356834075406,0.0171502145922746,0.011,2373,2194,2207,3.178476695718075,115.72939294229852,103.3945,485369.074,4194,2639,2.588979846978956,0.7003907321560998,0.0011748611989218,0.4194770746494884,0.4687381583933308,0.1007957559681697,0.0007153075822603,0.9881299511515876,Pilar; Villa Rosa,Latin America and the Caribbean,South America,115370,42.0,17.4709682465,3.236832133383857,151.0505864795832,135.82532842593818,51201.19150689925,27781.46392070947,0.0054370996039191,0.5701820940819423,0.979684830074046,6603.526397176776,0.4159754344404762,False,True,False,True,False,1,True
myanmar,MMR,tatkon,10197,0.0121951219512195,0.0121951219512195,0.0006692137700269,0.0006692137700269,1.0176097729070916,6.0,150.79965156794424,151.0,18.0,3.5319434678705064,0.0117533783783783,0.009,497,479,479,3.0940766550522647,101.28519144144144,79.118,89941.25,888,574,2.934962222413146,0.5032159141617893,0.0038276923761082,0.4006968641114982,0.4651567944250871,0.1341463414634146,0.0,0.9826949648323596,Tatkon,Asia,South-Eastern Asia,68653,10.0,2.33867502213,3.132404181184669,245.4381196910449,212.51349387883155,76916.41561903196,38458.20780951599,0.0063819437688491,0.5993031358885017,1.05249343832021,29355.51085566081,0.23386750221299998,False,True,False,True,False,1,True
argentina,ARG,general_rodriguez,1102,0.0289865329691028,0.0325780771586038,0.0012972822694995,0.0015245538792171,1.0051082190323233,2.0,34.15982853643601,34.0,19.0,2.373165539203826,0.0162235294117647,0.01,1571,1410,1413,3.331292100428659,105.9160419117647,100.6965,288091.634,2720,1633,2.892178015768502,0.5302855267775506,0.0014793802496682,0.4739742804654011,0.4770361298224127,0.0379669320269442,0.0,0.994917742253425,General Rodríguez,Latin America and the Caribbean,South America,54967,17.0,7.19403886795,3.421922841396204,226.9934914134453,218.37524495439223,73451.35239039545,40045.8823323112,0.0056683353741539,0.515003061849357,1.035571910456915,7640.6315018511,0.42317875693823526,False,True,False,True,False,1,True
argentina,ARG,goya,1071,0.0175378544025206,0.0196570728720146,0.0020655272128126,0.0022490533780497,1.0152940246477475,1.0,40.46356399265156,40.0,12.0,1.2352269323840823,0.0101607799852832,0.007,1557,1397,1405,3.3288426209430497,97.27211736571007,96.591,264385.615,2718,1633,2.260734898773636,0.8416158680443766,0.0016129552418715,0.4672382118799755,0.4843845682792406,0.0465401102265768,0.0007358351729212,0.9849363590482532,Goya,Latin America and the Caribbean,South America,88736,17.0,8.82678031921,3.377832210655236,185.0051707354777,176.39500969696186,58249.86398279573,29952.66738706625,0.0061765841534154,0.5309246785058175,1.1107022385771237,10053.04276202287,0.5192223717182353,False,True,False,True,False,1,True
